"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/pride-caftan/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_0940-247x296.jpg","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/rizzo-jacket/","https://charmpatterns.com/wp-content/uploads/2025/01/02_Pink-Ladies-Jacket_Gretchen_098-1-247x296.jpg","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/sabrina-bodice/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0182-247x296.jpg","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/scarlet-gown/","https://charmpatterns.com/wp-content/uploads/2025/01/06_Velvet-Daphne-Gown-Duo_035-247x296.jpg","",""
"Scout Dress","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/scout-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/border-print-gertie-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ScoutDress_Skizze.jpg"
"Secrets Clutch","Gertie Patreon","Society of Charm","Damen","Taschen","Clutch","Webware","One Size","PDF","Vorhanden","https://charmpatterns.com/shop/secrets-clutch/","https://charmpatterns.com/wp-content/uploads/2025/01/green-clutch-247x296.jpg","",""
"Shelley Purse","Gertie Patreon","Hollywood Icons","Damen","Taschen","Shopper","Webware","One Size (skalierbar)","PDF","Vorhanden","https://charmpatterns.com/shop/shelley-purse/","https://charmpatterns.com/wp-content/uploads/2025/08/5-crop-247x296.jpg","",""
"Skipper Dress and Bodysuit","Gertie Patreon","Camp Gertie","Damen","Einteiler","Overall","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/skipper-dress-and-bodysuit/","https://charmpatterns.com/wp-content/uploads/2025/01/Skipper-Composite-Merged-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/SkipperDress_Skizze.jpg"
"Slip, Camisole & Tap Pants","Gertie Patreon","Foundations Collection","Damen","Lingerie","Unterwäsche","Sonstiges","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/foundations-slip-tap-pants/","https://enibas-gh.github.io/Schnittmuster/bilder/SlipandTapPants.jpg","",""
"Society Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/society-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/20230214_CharmRiverHouseShoot_047-247x296.jpg","",""
"Sophia Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/sophia-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/11_SOPHIA_DRESS_BLACK_DUO_1014-247x296.jpg","",""
"Souvenir Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/souvenir-top/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0466-247x296.jpg","",""
"Turner Cardigan","Gertie Patreon","Society of Charm","Damen","Oberteil","Weste","Strick","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/turner-cardigan/","https://charmpatterns.com/wp-content/uploads/2025/01/09_Turner-Cardigan_758-247x296.jpg","",""
"Vargas Panties","Gertie Patreon","Society of Charm","Damen","Lingerie","Slip","Spitze","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/vargas-panties/","https://enibas-gh.github.io/Schnittmuster/bilder/Vargas-Panties.jpg","",""
"Varsity Gym Shorts","Gertie Patreon","Charm School","Damen","Unterteil","Shorts","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/varsity-gym-shorts/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_9803-247x296.jpg","",""
"Varsity Sweatshirt","Gertie Patreon","Charm School","Damen","Oberteil","Sweatshirt","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/varsity-sweatshirt/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_9702-Closeup-247x296.jpg","",""
"Waspie Corset Belt","Gertie Patreon","Camp Gertie","Damen","Accessoires","Gürtel","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/waspie-corset-belt/","https://enibas-gh.github.io/Schnittmuster/bilder/WaspieCorsetBelt.jpg","",""
"Valedictorian Bow Tie and Suspenders","Gertie Patreon","Charm School","Unisex","Accessoires","Gürtel","Webware","One Size","PDF","Vorhanden","https://charmpatterns.com/shop/valedictorian-bow-tie-and-suspenders/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_1415-247x296.jpg","",""
"Wanda Pencil Skirt","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/wanda-pencil-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Wanda-pencil-skirt.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Wanda-pencil-skirt_skizze.jpg"
"Sabrina Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/sabrina-dress-and-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0182-247x296.jpg","",""
"Starlet Gown","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/starlet-gown/","https://charmpatterns.com/wp-content/uploads/2025/01/06_Velvet-Daphne-Gown-Duo_035-247x296.jpg","",""
"Study Hall Dress","Gertie Patreon","Charm School Patreon 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/study-hall-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/Study_Hall_Dress.jpg","",""
"Summer Vacation Pants","Gertie Patreon","Charm School Patreon 2024","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/summer-vacation-pants-and-shorts/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0361-247x296.jpg","",""
"Sweetheart Slip","Gertie Patreon","Charm School Patreon 2020","Damen","Lingerie","Unterwäsche","Sonstiges","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/sweetheart-slip/","https://enibas-gh.github.io/Schnittmuster/bilder/Sweetheart-Slip.jpg","",""
"Swing Coat","Gertie Patreon","Charm School Patreon 2020","Damen","Oberteil","Mantel","Jacken-/Mantelstoffe","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/swing-coat-and-jacket/","https://enibas-gh.github.io/Schnittmuster/bilder/SwingCoat.jpg","",""
