"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"The American Beauty Dress","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/American_Beauty_Dress.jpg","",""
"Anni Bodice","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Anni-Bodice.jpg","",""
"Audrey Cigarette Pants","Gertie Patreon","","Damen","Unterteil","Hose","Jersey","2-20 / 18-34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Audrey_Cigarette_Pants.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AudreyCigarettePants_Skizze.jpg"
"Aurora Bodice","Gertie Patreon","Stanwyck Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Aurora_Bodice.jpg","",""
"Barbara Bodice","Gertie Patreon","Lamour Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Barbara_Bodice.jpg","",""
"Barbie Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Barbie_Top.jpg","",""
"Bathing Beauty","Gertie Patreon","Hollywood Icons","Damen","Lingerie","Badeanzug","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Bathing_Beauty_Swimsuit.jpg","",""
"Boardwalk Sundress","Gertie Patreon","","Damen","Kleid","Kleid","","","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Boardwalk_Sundress.jpg","",""
"Brooklyn Jacket","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Jacke","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Brooklyn_Jacket.jpg","",""
"Carousel Dress","Gertie Patreon","Charm Artist Collective","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Anni-Bodice.jpg","",""
"Charlotte Beret","Gertie Patreon","Charm Artist Collective","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","","","",""
"Charm Sash","Gertie Patreon","","Damen","Accessoires","Gürtel","","","PDF","Vorhanden","","","",""
"Charm School Uniform","Gertie Patreon","Charm School 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Charm_School_Uniform.jpg","",""
"Charm Scout Capelet","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Weste","Jacken-/Mantelstoffe","2–20","PDF","Vorhanden","","","",""
"Chess Club Trousers","Gertie Patreon","Charm School","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","","","",""
"Claudette Skirt","Gertie Patreon","Society of Charm","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","","","",""
